case	family	hex	mark	strokes	admissible	components	enum	groupEnum	groupFill	groupBox%	heightCV	pop%
snarky.jpg	family-9902	#e6e3ae	0.002	7	7	512	0.014	1.000	0.0142	3.22	0.344	0.2849
snarky.jpg	family-9462	#dad583	0.000	4	4	616	0.006	1.000	0.0074	2.19	0.179	0.2456
toxicity.jpg	family-7717	#b29b8b	0.000	6	9	448	0.013	0.667	0.9029	23.75	1.432	17.8418
toxicity.jpg	family-5513	#815a31	0.000	24	727	5571	0.004	0.033	0.8293	85.31	1.132	21.7766
toxicity.jpg	family-4631	#664522	0.000	24	842	9739	0.002	0.029	0.1869	84.53	0.534	11.4866
toxicity.jpg	family-3749	#4c3114	0.000	24	681	7415	0.003	0.035	0.1524	83.28	0.524	8.8367
toxicity.jpg	family-6395	#997042	0.000	24	896	6318	0.004	0.027	0.2410	100.00	0.660	12.0906
toxicity.jpg	family-2867	#351f07	0.001	24	499	5155	0.005	0.048	0.1176	82.81	0.608	6.6182
toxicity.jpg	family-7278	#b8874d	0.001	24	375	4178	0.006	0.064	0.0820	100.00	0.577	5.3540
toxicity.jpg	family-10342	#edebd2	0.265	21	21	77	0.273	1.000	0.2309	37.14	0.701	5.3096
toxicity.jpg	family-1984	#1f0d01	0.006	24	167	1807	0.013	0.144	0.0923	80.00	0.886	3.8647
toxicity.jpg	family-8160	#d2a061	0.002	24	116	1867	0.013	0.207	0.0368	89.10	0.630	2.1890
toxicity.jpg	family-6501	#dd1434	0.150	9	9	58	0.155	1.000	0.7068	4.78	0.419	1.3513
toxicity.jpg	family-9042	#e8bb7a	0.007	23	59	937	0.025	0.390	0.0263	47.76	0.685	0.9949
toxicity.jpg	family-8599	#c6afa1	0.002	22	22	859	0.026	1.000	0.0396	6.29	0.386	0.4680
toxicity.jpg	family-2404	#181f17	0.001	11	12	764	0.014	0.917	0.0161	5.54	0.581	0.4402
toxicity.jpg	family-9903	#ece098	0.003	13	13	467	0.028	1.000	0.0054	12.42	0.478	0.3313
toxicity.jpg	family-1102	#0d0100	0.006	9	9	346	0.026	1.000	0.0038	27.16	0.157	0.1787
toxicity.jpg	family-6835	#9c8170	0.002	5	5	225	0.022	1.000	0.0038	14.90	0.340	0.1357
vvbrown.jpg	family-11245	#ffffff	0.000	4	5	5	0.800	0.800	0.5505	100.00	1.027	37.5978
vvbrown.jpg	family-1543	#080808	0.000	23	31	284	0.081	0.742	1.0000	100.00	3.450	28.2957
vvbrown.jpg	family-2425	#201911	0.003	24	86	2361	0.010	0.279	0.4939	72.74	2.037	5.7625
